Star Rating,Review Title,Review Description
5.0 out of 5 stars,Worth the money,"The media could not be loaded.Worth the money I must say , sound quality is quite crisp, cuts down background really well and super easy to use you can download a app and control a heck lot of things through it , the magnet is super strong , very light weight easy to attach to clothes doesn’t feel bulky(P.S - you will have to buy both the receivers if you use iPhone lighting one doesn’t come singular as usb)Read more"
5.0 out of 5 stars,"Good product, can trust and buy.",The media could not be loaded.Very nice and genuine product I'm writing this review after using it for more than a week. I use it with iPhone and it's super compatible and comfortable during recording videos. The down side it it may not work with all apps you have. But best product for anyone who is looking for a mic with super noise cancelation. Battery life is also really good as I charged it once and it's lasting for a week (based on your usage this may vary). Over all good product but the cost is little at the higher end.Read more
5.0 out of 5 stars,Brilliant mic with great noise cancellation,"Brilliant purchase for regular content creation on my iPhone 17. Works like a charm! Of special mention is the brilliant noise cancellation that cuts out ambient noise beautifully well. Please make sure you purchase ONLY the USB-C variant as that would save you a lot of money since it works on all USB-C compatible devices. I bought the combo (USB-C and Lightning) variant that cost me upwards of Rs.7,000/- as when I purchased this kit, only the USB-C variant wasn't available.Read more"
5.0 out of 5 stars,Best product.,Best for blogging..I’m using it in industry and voice cancellation working fantastic. Loved it.Read more
3.0 out of 5 stars,Good But ...,Mic is Great But It Must Have Clips other wise You Will Lose ItRead more
1.0 out of 5 stars,Transmittors are not Working,I purchased Lark AI.. Both transmittors are not working.. What to do next..?Read more
5.0 out of 5 stars,Sound quality,"The best product you can get, works so good the voice comes crystal clearRead more"
5.0 out of 5 stars,iPhone,Good product and product delivery also proffesionalRead more
5.0 out of 5 stars,Smooth AF,"UI so smooth, as a dove floats on a moonlit tranquil pond...Cameras so sharp, as a Ronin handles his sword...Speakers so thunderous, even the heavens rumble when one booms a chorus.Read more"
5.0 out of 5 stars,Genuine and Fast,"My first iPhone and I couldn’t ask for a better battery life, performance, camera and UI.I have purchased during Republic Day sale and was little anxious about the genuineness’s of the product but the seller lived up to the expectations.Read more"
5.0 out of 5 stars,Genuine product,Best and genuine product . Very fast delivery by amazon . Battery life is better than previous one…Read more
1.0 out of 5 stars,Brand New iPhone 17 Pro Max With Visible Dead Pixel – Replacement Denied Despite Proof,"The media could not be loaded.I purchased a brand new iPhone 17 Pro Max from Amazon, and within days of delivery the device started showing a visible red/dead pixel issue with intermittent flickering. The defect is clearly visible to the naked eye and appears across multiple screens and colors.I immediately followed the correct process and visited an Apple Authorized Service Center. The issue was officially recorded in their service report and even captured on video. However, after keeping the phone for two days, the service center verbally denied the issue and refused to issue a defective certificate, which Amazon requires for replacement.Because of this, I am now running out of my replacement window, despite the product being defective from the beginning. I had to take leave from work, visit the service center multiple times, and still ended up helpless.This is a premium flagship device, and such a defect on a brand new phone is unacceptable. Even more disappointing is how difficult it has been to get a fair replacement after following all official steps.I expected much better quality checks and post-sale support for a product of this price.Buyers beware: Please check your device very carefully immediately after delivery and be prepared for a long struggle if you receive a defective unit.Read more"
5.0 out of 5 stars,Nice,NiceRead more
5.0 out of 5 stars,Great user experience,Great user experience.Read more
5.0 out of 5 stars,Amazing and Fabulous,Amazing and FabulousRead more
5.0 out of 5 stars,"Great Deal, Smooth Delivery & Premium Experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,"Solid Phone, Solid Performance and premium experience","I recently purchased the iPhone 17 Pro from Amazon, and the overall experience was excellent as always.The product arrived in perfect condition and performs exactly as expected. The build quality, performance, and camera are all top-notch, and everything was properly sealed and brand new.Delivery was prompt and smooth. Since this wasn’t an open-box delivery, I appreciated that the delivery associate reassured me that if anything turned out to be wrong, support would be available. That added an extra layer of confidence while accepting the package.I also managed to get a very good deal using coupons along with cashback through the ICICI Amazon credit card, which made the purchase even more worthwhile.Overall, a smooth buying experience and completely satisfied with the purchase. Highly recommended.Read more"
5.0 out of 5 stars,Premium and class as always.,Very Premium feel. I do understand that apple left titanium body of 16 pro but yes it is an upgrade and if one has 16 pro then may be he should not go for this one but hugely recommend for anyone having 14pro or lower. Feels premium in hand and design is different and may not be to everyone's taste. Blue colour is awesome as I had liked darker colours from Apple. Camera is excellent. I do not want to comment about battery as I do not use this phone for gaming. Amazon also did a good job with respect to delivery and providing offers in Republic Day sale ????.About durability I can only say that my wife is using 13 pro and it still is smooth and no major issues except battery which obviously Apple degrades over years so that you buy a new one.I was hoping to bag a 16 pro but in sale the difference was not huge so went with this one. ????Read more
5.0 out of 5 stars,iPhone 17 pro,"Awesome quality, good battery backup and lovely pictures. A way too improved. Worth the price.Read more"
4.0 out of 5 stars,Performance,First time i have shifted from Android to IOS (iphone). After the usage of 1 month i am writing these lines regarding my iphone experience.It is very nice and classy and an outstanding look in hands .Feel something different on its use.Camera is goodDesign is charming.Battery lasts for a day after heavy use.Really hands feel different touch.I like its design and its performance.Read more
5.0 out of 5 stars,Delivery and item performance is superfine,Perfect to spection our orderRead more
1.0 out of 5 stars,Apple is too expensive fraud,Apple is fooling customers around. I don’t feel any change in my phone between iPhone 15 and iPhone 17 Pro Apple says there is a massive battery increase nothing. Apple is a company who wants to dig out one lakh rupees every year from customers pocket without giving anything extra.Read more
5.0 out of 5 stars,Good,"After seeing negative reviews, I was worried after placing the order and wasn’t sure whether I would receive an original iPhone 17 or not. However, I received a genuine product with official Apple warranty.The only drawback is that Apple should provide the power adapter along with the phone; we have to buy the adapter separately.Overall, everything is good and I’m satisfied with the purchase.Read more"
5.0 out of 5 stars,Absolutely Good,No issues till nowYou can buy it for students daily use or for your parents who are started to useTotally worth on this priceRead more
4.0 out of 5 stars,Best deal at 8000 segment,"According to price , it is the best . Screen is large , speakers are loud , long lasting battery,light weight and usable camera. Best for giving to grandparents who want to learn using smartphoneRead more"
5.0 out of 5 stars,Good entry level phone,This is a good entry level phone with good large 6.7 in display. Large battery and android 16 with one ui 8. A great phone for normal use. Don’t expect much from camera and gaming performance as it is an entry level phone.Read more
5.0 out of 5 stars,Good product in affordable Prices,A very Good product in affordable Prices and For Gifting this to someone special is very satisfactory. Very Attractive Product at affordable Prices.Read more
4.0 out of 5 stars,"A good, solid phone at this price-point","This is marketed as a budget phone. Nonetheless, it has the quality and feel of a midrange product. It does all the essentials well, including Internet browsing, WhatsApp, etc. The only slight issue has been dropped wi-fi connection despite close proximity to the router. It'll switch to mobile data connection and this could consume a lot of data if you don't realise. You can change connection settings to avoid rapid switching from WiFi to data.Read more"
5.0 out of 5 stars,A quality phone with decent specs.,"This phone is purchased as a gift for an old person and she likes it a lot. The phone looks good, build quality is decent for the price, screen although not a FHD panel, is crisp & colourful and the phone is fast enough for general applications like WhatsApp and youtube. Camera takes good pictures and videos. Speaker is loud enough and call quality via microphone is also very good. She doesn't game so not sure about the gaming experience. I can't comment on the battery performance as I didn't check and she's almost always at home so battery may not be an issue for her. It's a 4G only phone so no 5G connectivity but it doesn't matter to us. Oh, and it will receive six Android updates.All in all, a good phone for the price.Read more"
3.0 out of 5 stars,Ok,It's ok for the price but it would be great if it has 5gRead more
4.0 out of 5 stars,Phone Review (After 3 Months of Use),"**Note:** I have been using this phone for the last 3 months for basic usage. It is working well, so you can trust it for normal use.### ? Pros1. **4G Support:** Since 4G coverage is widely available, the phone works well for everyday use.2. **Battery:** 5000 mAh battery provides excellent backup and easily lasts up to 2 days.3. **Display:** Samsung PLS LCD display with good quality and smooth touch response.4. **Performance:** Helio G99 processor delivers good speed for daily tasks.### ? Cons1. **No 5G Support:** The phone does not support 5G bands.2. **Camera:** Camera quality is average.3. **Limited RAM:** Although it has 4GB RAM, only about 1GB is usually free. This may cause issues with future Android updates and multitasking.4. **Performance Drop:** Installing many apps may slow down the phone due to limited RAM and storage.5. **Software Updates:** Samsung promises 6 generations of Android updates, but with only 4GB RAM and 64GB storage, future updates may affect performance and storage.### ?? ConclusionThis is a basic smartphone suitable for calling, messaging, and light app usage. Do not expect high performance or advanced features.Read more"
5.0 out of 5 stars,Awesome,"it's a fantastic product that exceeded my expectations! I'm really satisfied with its impressive features, smooth performance, and reliable battery life for the price. Highly recommended for anyone on a tight budget in the 10k-12k range—great value without compromises!Read more"
4.0 out of 5 stars,M06 review,"The Phone is nice. I have been using it from last 6 months.Good build quality.Good at this price rangeSupports super fast charging and battery health is also good.Bigger screen size.Good sound.It lags when gets heated , the processor cannot handle that much load.Overall runs smooth for low to moderate use.Read more"
5.0 out of 5 stars,Excellent fantastic and superb,I highly recommend to other costumer to purchase this mobile. I also say this is really wonderful item in very less budget and all features are very fantastic.Read more
5.0 out of 5 stars,Good product but camera is very poor,"The product is very good. But if you are looking for a phone that takes very good pictures, then do not buy it. The camera is very poor. Overall performance is good; it's not for gaming purposes. Good for normal calls, WhatsApp messages, banking applications, food applications, and all basic applications can run smoothly. The battery is very effective.Do not expect something very exceptional from it.Read more"
1.0 out of 5 stars,Stay away from Samsung,"I ordered this cellphone about a month back and had a horrible experience to say the least. I had tremendous trust and confidence on Samsung products as they were extremely durable and of good quality. However, all this shattered with this cellphone purchase. Just after five days or so, the screen/display started malfunctioning. When I paid a visit to the service centre they simply updated the software and sent me back saying it will work. The very next day the cellphone's display again started giving me problems. I again went to the service centre and to my shock - they were not ready to acknowledge the hardware fault. After a lot of struggle with the service centre guys they changed the display. It's been a 5-6 days since and I can say with surety that the device is of low hardware quality. The speaker sound, display, infact everything feels like it's of low quality. I amazed at the kind of experience I have had with Samsung this time. I really wouldn't recommend anyone to buy this product. Guys the service centre guys were behaving as if they didn't care a damn. I have come down to a conclusion that it's not just the hardware but the service of Samsung has declined over the years to a point that they were behaving like a tin pot company. Extremely disappointed, sad but it's 100 % TRUE ! I would definitely stay away from buying Samsung products in future - a company on which I had tremendous trust and confidence ! I am already acknowledging this as money down the drain !! Even if Samsung would have exchanged the device for a new one, I still don't think it would have worked really well  ! But this is something that they should have done - to say the least !Read more"
5.0 out of 5 stars,durable and good quality,Good product in low budgetRead more
4.0 out of 5 stars,Value For Money,"Value for Money product for the budget buyers. safe & secure if you are using nicely. no blotware no useless apps etc.feels good and works nicely if not used roughly.- looks good and premium at this costcons- phone hangs /  lags if memory is 60% full.-  no dedicated slot- biggest cons - no case, no charger, no head phone which is must for budget buyers. hence i have given 4 ratings- camera - decent. no macro or wide angle available.Read more"
3.0 out of 5 stars,Cut-down version of a  5G phone.,"I am reviewing this phone after a few days of usage.This is a compromised or cut-down version of the normal 5G phones and hence it's available for less than 10K INR.The built-in hardware test is removed.  Dialling *#0*# does nothing.It has a very basic raw uncalibrated Gyroscope.Camera is okay. Despite 128GB ROM, 6GB RAM & 2 GHz processor the phone is surprisingly slow.If the signal quality is around 3 bars (may be because you are indoors or so) the signal falls back to 4G & mobile Internet practically does not work. See the speed test screenshot. The test fails to connect as there's no Internet even though mobile data is on at 4G connection. I tried every suggestion given by AI even including replacing the SIM to a new one but nothing helps.  This device has a weaker antenna or reception from technical point of view.Sadly the speaker sound is not that great. It's again poor. If you are in next room watching TV and phone rings in another room, you might miss a call because the speaker loudness is poor even at full volume.When you take a photo, the phone makes a Click sound. There's no direct setting to turn it off but there's a trick (available on Youtube videos ) that works and you can mute the Click sound.Battery life is average. Charging time is okay with a standard normal charger.Only one good thing about it is that as of now there's no beep or call recording announcement when you record a call. This might change in future though.Overall I am disappointed. Earlier I had Redmi 7A that did not have enough space and was overall slow in all aspects, so I bought this one but overall I am not at all impressed. I just feel I still have the same old experience with just added space, nothing more!!Read more"
5.0 out of 5 stars,Battery good,"After 2days of full use... Battery 5/5, camera both 8/10, display 5/5,sound and voice mic10/10 , 5g network 10/10 overall best product thank you amazon and sumsung indiaRead more"
3.0 out of 5 stars,LAG Under multitasking,"I bought the 4GB RAM version, and unfortunately, it struggles with multitasking. If I try to run two apps simultaneously, there is a noticeable lag. The camera performance is also quite disappointing—I’d rate it a 1 out of 5. On the bright side, the battery backup is solid and lasts a long time. It's a decent basic phone, but not for power users.Read more"
5.0 out of 5 stars,Insanely good for the price,"Insanely good for the price!An all rounder phone with a great display, durability and reliable performance.Battery life is best in class thanks to Samsung's software optimizationRead more"
5.0 out of 5 stars,Good Phone for long battery usage,Good phoneGood battery lifeDecent cameraVery happy with split screen and new origin OS availability in lower price segmentRead more
5.0 out of 5 stars,Very Good Phone,"Very Nice Phone, as I expected, I am using 2 phones now of IQOO Z10X AND Z11X, And I am fully Satisfied with this company of Vivo.Read more"
5.0 out of 5 stars,"Very nice phone!  ,but need to know how it wil perform after hard-core usage","Very nice phone!  ,but need to know how it wil perform after hard-core usageRead more"
5.0 out of 5 stars,Good phone for studying longer,"Bought this phone for my brother .Nice phone , suitable for long hour studyin and usage..Quite a big batteryGood phone for playing freefire ..it doesn't lagLooks wise it's okWill share further review , once I have used this fot sufficent timeRead more"
5.0 out of 5 stars,Nice mobile,Good product ??Read more
5.0 out of 5 stars,Best Smartphone under 20k in 2026,Wonderful productsRead more
5.0 out of 5 stars,Performance and battery beast,"The experience with this smartphone has been really fantastic. I bought this smartphone for performance and battery and this provides me things beyond my expectation.The Battery last for more than 2 days, while the performance is top notch. Camera in the smartphone is also great. The display quality never felt low which was concerning at the startingOverall top notch performance, top notch battery and a great camera system really make the smartphone value for its price.Read more"
5.0 out of 5 stars,Smooth phone with good battery,I have been playing Freefire on this device. The phone is pretty smooth and the battery lasts for more than 2 days.Read more
5.0 out of 5 stars,Great device - value for money,Great value for money deviceIt comes across as a great secondary deviceHappy with looks..looks like a premium deviceRead more
4.0 out of 5 stars,Performance,"I don't face any kind of issue in the device good battery, not heating problem , durable , camera is ok ok , overall a good device , smooth, good performance and best in budget.Read more"
5.0 out of 5 stars,Great product....worth of money,Great phone....very handyRead more
5.0 out of 5 stars,Excellent mobile phone iqoo,Wonderful performance mobileRead more
4.0 out of 5 stars,Good for the money,So far good. The camera quality is medium. Otherwise good for the price. Have not had the chance to check the battery life. Weight is good not too heavy.Read more
5.0 out of 5 stars,Good decision under 12 k,In this price range it is very very good deviceRead more
3.0 out of 5 stars,"Great Performance and Battery, But Very Poor Camera.","The phone’s performance is good and the battery backup is also great, but the camera quality is very poor. If you want good photo quality, then buying this phone is not worth it.Read more"
4.0 out of 5 stars,Slow mobile,Good product but works very slow use it only as a 2nd phoneRead more
5.0 out of 5 stars,It's great budget phone,It's good phone for sure decent processor everything feels pretty fine and camera also great too for this price. Display is nice. Excellent phone for this price.Read more
4.0 out of 5 stars,Overall cheap and good phone.,Camera-goodBattery-superNice design sound also good no heating issue Smooth lag free.Read more
5.0 out of 5 stars,Value for the money.,Good. Good battery back upRead more
5.0 out of 5 stars,Amazing,"Amazing work, quality is also good,metal body looks so good, storage and battery backup amazing ??Read more"
4.0 out of 5 stars,Good,Good budget mobile.Read more
5.0 out of 5 stars,Decent Quality,"Nice look, decent camera qualityRead more"
3.0 out of 5 stars,Good for this amount,It is a good phone. Sometimes it hangs.Read more
4.0 out of 5 stars,Good product with 6gb 128 gb,Everything fine except 5g service in this price.Read more
5.0 out of 5 stars,Monsterously Amazing Galaxy !,"Bought it after almost 5 months of intense research and won't regret my decision now. Writing this after using the device for 7 days.Display is magnificent.Performance is A+Battery is coming up good so far, with almost 55-58 hrs backup in single charge. Bought original Samsung 45W adapter.Camera quality is amazing. Crisp photos and better quality. Use is as feather with 120 Hz screen refresh rate. Premium feel with very light weight. Haven't used any games but only Candy Crush that too in leisure time, that too smooth experience.Overall this monster is best in segment in all areas. 4nm built Exynos 1480 is doing a great job in there along with Xclypse GPU. It's X factor is 2.75 GHz processor, sAMOLED display, and Bixby which makes this monster huge one within 25k budget.Read more"
4.0 out of 5 stars,GALAXY IS NOT BAD,"Battery ,Processor, and dual speaker is the only compromise.One UI , 6 x 6 updates, light weight, slim ,premium look,display quality, galaxy eco system,voice focus,camera quality,Non Chinese brand with international brand value .This are the sacrifice for the compromisesRead more"
5.0 out of 5 stars,Good phone with great features!!!,Sleek and stylish design with good performance!! Every colleagues asking me which model is this?? Software in Samsung is always great. UI feels smooth.. I'm not a gamer so battery lasts for a full day. I mainly got this for 7 os gen updates. In description it's mentioned as Android 15 but For my surprise I got Android 16 out of the box which is great!!! Glass back so get a case for safety. I bought niukin ripple wave soft back cover. It's great l. Aesthetic and classy case.Read more
5.0 out of 5 stars,Amazing product,"Best in segment Phone. The build quality, camera, User interface everything is top notch at the price.This smartphone gives full value of every penny you spend.Read more"
5.0 out of 5 stars,Amazing product,"Really good phone. I like it. Display is very good. Camera quality, smoothness, sound Quality. Everything is good. Samsung just need to give much more charging power in lower end devices. 24 and 45 watt are too lessRead more"
4.0 out of 5 stars,Simply this Samsung phone is Very ?? Awesome.,"This phone is really excellent. The camera is outstanding — I compared it side by side with other phones around the ?30,000 range, but this one clearly has a much better camera. The pictures are very clear with great quality, and the OIS works really well. It is visibly better than other brands.The display is also excellent. The colors are very vibrant and the screen is extremely smooth. Using the phone feels very enjoyable and smooth.The battery performance is also very good. One full charge easily lasts a full day even with heavy usage.Apps open very fast and the phone feels very smooth overall. Games like BGMI also run smoothly; I have played it without any issues.One small drawback is that it has a single speaker. However, it is not bad at all — the speaker is loud and the sound quality is good. Still, if it had stereo speakers, it would have been even better.I am giving this phone 4 stars only because of the single speaker.Overall phone is very good and Balanced around 25,000.Read more"
5.0 out of 5 stars,Nice phone for daily use.,"Using this phone since 15 days.. so far so good for daily use. Phone is handy, light weight, good front n back camera. Screen brightness and auto adjust is works well.Read more"
4.0 out of 5 stars,good product but beware of exchange offers,"Happy with the product.Pros:* samsung reliability/usability* decent cameras* good product. no major issuesCons: (not really major issues)* no sd card slot* no earphone portOverall happy with product.Exchange was a scam though. Had to pay extra 1700 rupees during exchange even though old phone had no issues or scratches. In fact, the exchange person also lied that the old phone had come with a charger and they needed it. I told them I cannot find it and paid the extra money. Later checked and saw the old phone never came with a charger. So the exchange process is scammy...Read more"
5.0 out of 5 stars,Great Budget Phone – POCO C71,"I’ve been using the POCO C71 for a bit now, and honestly, it’s one of the best phones I’ve found in this price range. For the money, you get 6GB RAM and 128GB storage, which makes everything run smoothly and lag free. I can switch between apps and play games without any lag, which is awesome for a budget phone.The build quality is pretty solid too. It feels durable, and I’ve dropped it a few times, but it’s still in great shape!As for connectivity, both Wi-Fi and Bluetooth work without any issues. No problems staying connected to my Wi-Fi or pairing with Bluetooth speakers.The display is another win – the 120Hz refresh rate which increase the smoothness, and everything looks crisp.And for the camera, it actually takes some nice photos, especially in good lighting. Nothing too fancy, but it’s definitely good enough for everyday use.Overall, if you’re on a budget but still want a phone that works well and doesn’t feel cheap, I’d definitely recommend the POCO C71.It’s a great deal for the price!Read more"
4.0 out of 5 stars,About poco,"Yesterday, I received the phone, and it is an awesome product with many enhanced features. The phone works very smoothly, and its battery backup is excellent. The best thing is its customer-friendly price, which makes it great value for money.The Poco C7 Blue also has a stylish design and a large display that is perfect for watching videos and browsing. Its performance is reliable for daily use, and the camera quality is quite good for this price range. Overall, it is a budget-friendly smartphone with impressive features, and I am very satisfied with my purchase.Read more"
5.0 out of 5 stars,Great product,Value for moneyRead more
4.0 out of 5 stars,Rated atleast 4 stars,Nice product..reached the item on time & the delivery agent is also generous to me. Thanks to AmazonRead more
3.0 out of 5 stars,Overall phone,"The media could not be loaded.This phone looking so good ?? camera enough at this price point, display big but ok , charging speed is common, battery backup is good and sound is louder ?? performance normal overall phone is good at this price pointRead more"
5.0 out of 5 stars,Good 4g mobile,For ?8k plus the mobile looks premium. Touch sensitive and clean ui. I hold 6 128 version which works smoothly. A scratch guard could have been better. Display and audio are good enough. Wifi works better. Battery standby is appreciable. I recommend it.Read more
5.0 out of 5 stars,Best phone,Best phone under minimum budgetRead more
4.0 out of 5 stars,slow phone,"at this range phone is okay, but running slowRead more"
5.0 out of 5 stars,It’s an experience then features.,One of the Best design from apple.LightweightPhone quality is awesome build quality is nice feels delicate but solid.Super slimBattery life need to test as early user i can’t comment on it but i will update eventually.This is not for professionals. This is for causal users and who takes phone design and asthmatics seriously they will definitely satisfied.Pros:Ultimately slimmerBest design.Great in hand feel.Great display.Cons :Single camera portraits are not focusing fast as pro phonesSingle speaker instead of stereo speakers is major drawback. Due to that sound is low compared to other iPhones.Apart from that i feel nothing lacks from the pro performance.This is not value for money for this cost based on its features. More features are there in iPhone 17 and it’s costing 75-80k. But here the air is costing more but less features. So justified around 80k.Simply awesome in hand feeling. You need to feel it by seeing you can’t experience.It’s feeling like holding a pease of glass in hand that much slim it is. Even the iPod touch devices thicker than this.Read more
5.0 out of 5 stars,Very sleek and smooth interface,"Definitely smoother interface than the basic 17. Just for daily use the camera and battery is sufficient, but if you’re a content creator and want more variety opt for the pro series. For me it’s the lightness and simplicity of the design which made me buy this. I don’t want tacky 3 camerasRead more"
5.0 out of 5 stars,Beautiful technological marvel.,Awesome looks. 12 GB of RAM makes performance very crisp. I personally recommend using a good back cover for that perfect grip in hand as it’s super thin.Read more
5.0 out of 5 stars,Excellent product,ExcellentRead more
4.0 out of 5 stars,Good,No clear sound on vioce mgs low batteryRead more
5.0 out of 5 stars,Experience not a phone,"It's an experience, worth every pennyRead more"
5.0 out of 5 stars,The best iPhone of 2025,Once you use the Air for 10 mins you can no longer go back to other heavier brick style phones.Read more
1.0 out of 5 stars,Need exchange,"Very very bad sound system, unable to here any incoming call alsoIs it possible to exchange?Read more"
5.0 out of 5 stars,The most underrated among iPhones,"One of the best phones out there.I read a ton of reviews and watched two tons of videos of people’s experience with this phone before pulling the trigger on this purchase.My honest opinion - this phone is an iPhone. Signature battery life (does not suck), signature camera, fluid screen.. and, a great speaker. No, I do not feel the speaker is a problem. It’s perfectly fine for 99.999999% of people out there. If you’re one of the 0.000001%, know that it is still an extremely usable speaker that you shouldn’t feel you’re stuck with.The perk is the slimness to go with all that. The novelty of a slim phone does wear off in a few days, but what you’re left with is a great day to day experience of using it.Stop thinking about battery life, scratches, speaker quality and all that jazz. None of them are a problem.Read more"
5.0 out of 5 stars,Nice,NiceRead more
5.0 out of 5 stars,Iphone Air,Nice productRead more
5.0 out of 5 stars,Don’t think twice,Best buy.Read more
5.0 out of 5 stars,Must buy this for slim and sleeker,Battery backup is very bad otherwise other performance is so betterRead more
1.0 out of 5 stars,Not good,Sound is too less feels and there is no sound coming from the bottom speakers like a google pixel and androidRead more
5.0 out of 5 stars,bad product don't bye,worst product don't bye this guys very very bad all sounds or bad color bad it have some malicious virus alsoRead more
3.0 out of 5 stars,Not a good choice,not good battery but slim and unique durable will not say value for money but good for those who wants thin calling phone impracticleRead more
5.0 out of 5 stars,Good price good product,Good ??Read more
4.0 out of 5 stars,Bad software experience,The phone is actually nice but in the software side facing lot of problems like bugs. Performance wise which is good one in this price range ( under 10k ).Read more
